Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-51789,4934860,Import/Export Projecttyp,Bug,TASK-25.2.1.7,,,2025-Mar-03 11:36 AM,SAAS,,,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.4.1.0,,,,Duplicate Issue,TASK-25.4.0.3,,,,,Duplicate,,,2025-Apr-07 8:19 AM,,,,
TM-51788,4934857,"Multiple stores reported an issue that they have not received ""Daily-Daily PIN Pad Protection Survey task""",Bug,TASK-25.1.1.0,,,2025-Mar-03 11:34 AM,SAAS,,,CAN_BE_TESTED,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.3.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Mar-06 5:00 PM,,,,RV1486
TM-51781,4934120,"RFX - EG Group Limited - Mobile Reflexis | 21169436",Bug,,,,2025-Mar-03 6:33 AM,SAAS,,,CAN_BE_TESTED,IA_Walk_Responder,RCA_Testcase_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.4.1.0,,,,Legacy,TASK-25.4.0.4,,,,,Work Complete,,,2025-Mar-06 9:45 AM,,,,AB3899
TM-51713,4930050,Confirm read notification - English verb visible on nl_NL,Bug,TASK-25.1.1.2,,,2025-Feb-28 12:52 PM,SAAS,,,CAN_BE_TESTED,RCA_Informational,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.5.1.0,,,Others,User Documentation,TASK-25.5.0.1,,,,,Closed by Salesforce,,,2025-Apr-17 12:38 PM,,,,BP1518
TM-51711,4929796,"Tasks being completed on time, but being marked as late.",Bug,TASK-25.1.1.0,,,2025-Feb-28 10:25 AM,SAAS,,,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.1.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Mar-14 5:16 PM,,,,
TM-51709,4929792,ORG - module translation,Bug,TASK-25.2.1.3,,,2025-Feb-28 10:19 AM,SAAS,,,CAN_BE_TESTED,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Configuration,,,,,,Configuration Issue,,,2025-May-15 3:35 AM,,,,SA9341
TM-51704,4928101,"RFX - Shoe Sensation, Inc. - Link to Docs in Project leads to blank page | 21174483",Bug,TASK-24.10.2.5,,,2025-Feb-28 2:55 AM,SAAS,,,CAN_BE_TESTED,CYB_MYWORK_Dev_POD,RCA_Already_Reported,REOPENED_NOT_A_BUG,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.2.1.0,,,,Legacy,TASK-25.2.1.0,,,,,Duplicate,,,2025-Apr-08 4:27 PM,,,,
TM-51691,4927451,MYWORK 25.1 [ROI] - Failed project: Important_ Express ISB Bakery Equipment Survey,Bug,TASK-25.1.1.0,,,2025-Feb-28 12:39 AM,SAAS,,,CAN_BE_TESTED,IA_Project_Creation,PROJECT_LAUNCH,RCA_Testcase_Missing,Retrospective_Done,SCRUM_VER,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.4.1.0,,,,Legacy,TASK-25.4.0.5,,,,,Work Complete,,,2025-Mar-11 1:06 PM,,,,AB4247
TM-51671,4925072,"RFX - Royal Farms - Post Maintenance Issues | 21166093",Bug,TASK-25.1.1.1,,,2025-Feb-27 7:52 AM,SAAS,,,CONFIRM,Kernel_Scrubbed,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,Others,Not a Bug,,,,,,Closed by Salesforce,,,2025-Apr-19 9:34 AM,,,,HS8798
TM-51639,4922771,"RFX - Coop Switzerland - PreferredLanguage=FR not recognised during SSO Login for French Users | 21160404",Bug,TASK-24.10.2.2,,,2025-Feb-26 4:34 PM,SAAS,,,CAN_BE_TESTED,IA_SSO,Kernel_Scrubbed,RCA_Testcase_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.2.1.10,,,,Regression,TASK-25.2.1.10,TASK-25.3.1.2,TASK-25.4.0.6,,,Work Complete,,,2025-Mar-14 10:12 AM,,,,AL5699
TM-51631,4918979,Automatic e-mail reply that project approver receives after project being sent looks corrupted,Bug,TASK-25.1.1.2,,,2025-Feb-25 3:28 PM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Work Complete,,,2025-Feb-25 5:27 PM,,,,
TM-51625,4918038,Effort in project creation not translated,Bug,TASK-25.1.1.1,,,2025-Feb-25 7:43 AM,SAAS,,,CYB_RTM_Feat_Dev_POD,CYB_RTM_Feat_POD_QA,IA_Translation,RCA_Testcase_Missing,Retrospective_Done,SCRUM_VER,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Configuration,TASK-25.4.0.4,,,,,Work Complete,,,2025-Mar-07 12:35 AM,,,,SG6449
TM-51624,4918033,"RFX - MPREIS WARENVERTRIEBS GMBH - Images do not show in check | 21121763",Bug,TASK-24.10.2.5,,,2025-Feb-25 7:35 AM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Mar-01 6:37 PM,,,,PD4492
TM-51551,4914446,CL 22 PP : JPMC : RAR Dashboard is not working and Getting error,Bug,TASK-25.1.1.1,,,2025-Feb-24 10:09 AM,SAAS,,,CST_Required,RCA_WFM_IntegrationIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.1.0.11,,,,Regression,,,,,,Work Complete,,,2025-Feb-25 9:03 AM,,,,VK3578
TM-51550,4914581,PP-WALK- 25.2 Upgrade Dynamic Name Issue,Bug,TASK-25.1.1.2,,,2025-Feb-24 10:01 AM,SAAS,,,ACUTE_CHARACTERS,IA_Walk_Responder,RCA_Testcase_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.2.1.7,,,,New Feature Bug,TASK-25.2.1.7,TASK-25.3.1.0,,,,Work Complete,,,2025-Feb-27 12:36 AM,,,,NS7781
TM-51548,4914068,RE: Z182SP-MWCL12PRWAS06             System - Performance - Memory Usage           Critical,Bug,TASK-25.1.1.1,,,2025-Feb-24 8:12 AM,SAAS,,,CANNOT_BE_TESTED,RCA_Performance_Scalability,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Verify,TASK-25.2.1.2,,,,Performance,TASK-25.2.1.2,,,,,Work Complete,,,2025-Mar-21 9:39 AM,,,,VP1789
TM-51542,4913537,PP_Walk can be edited by profile that should not be able to do it,Bug,TASK-25.1.1.0,,,2025-Feb-24 5:16 AM,SAAS,,,RCA_Testcase_Missing,RELEASE_NOTES,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.6.1.0,,,,Legacy,TASK-25.6.0.3,,,,,Work Complete,,,2025-Apr-23 9:21 AM,,,,RV1486
TM-51537,4912962,PP_Walk Template can be Withdrawn by profile that should not be able to do it,Bug,TASK-25.1.1.0,,,2025-Feb-24 3:11 AM,SAAS,,,CAN_BE_TESTED,IA_Walk_Template,RCA_Testcase_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.4.1.0,,,,Security,TASK-25.4.0.5,,,,,Work Complete,,,2025-Mar-12 9:55 AM,,,,RV1486
TM-51521,4909928,PP: Multiple Duplicate Reports Sent to Email,Bug,TASK-25.1.1.1,,,2025-Feb-21 4:34 PM,SAAS,,,CYB_KERNEL_DEV,L2_Learning,RCA_Missing,Retrospective_Done,REVIEWED,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Jul-04 10:44 AM,,,,PA1587
TM-51519,4909690,Manual added task does not appear in report,Bug,TASK-25.1.1.1,,,2025-Feb-21 2:41 PM,SAAS,,,CAN_BE_TESTED,DUPLICATE,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.2.1.2,,,,Duplicate Issue,TASK-25.2.1.2,,,,,Duplicate,,,2025-Feb-27 9:30 AM,,,,MS5895
TM-51517,4909738,"Reflexis - Ahold Delhaize USA Services, LLC - GM- Prod- Images distorted when launching projects | 19488916",Bug,TASK-25.1.1.1,,,2025-Feb-21 2:09 PM,SAAS,,,CAN_BE_TESTED,IA_External_Mail,RCA_Testcase_Missing,RELEASE_NOTES,Retrospective_Done,SCRUM_VER,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.4.1.0,,,,Legacy,TASK-25.4.0.4,,,,,Work Complete,,,2025-Mar-11 12:52 PM,,,,SA9341
TM-51516,4909714,Walk_18299 Stuck,Bug,TASK-25.1.1.1,,,2025-Feb-21 12:58 PM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.5.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Apr-10 2:25 PM,,,,NP5386
TM-51505,4908065,REST API responding with 500 Internal Error for some requests since today,Bug,TASK-25.1.1.1,,,2025-Feb-21 3:57 AM,SAAS,,,MOVE_25.5,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Could Not Reproduce,,,,,,No Longer Reproducible,,,2025-Jul-07 5:13 PM,,,,
TM-51503,4907718,Store opening Checklist not generating,Bug,TASK-24.10.2.5,,,2025-Feb-21 1:55 AM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Apr-01 11:53 AM,,,,AJ8037
TM-51476,4905470,User unable to save an attachment,Bug,TASK-25.1.1.1,,,2025-Feb-20 9:46 AM,SAAS,,,CAN_BE_TESTED,IA_Project_Creation,RCA_Automation_Gap,RCA_Testcase_Missing,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.3.1.0,,,,Legacy,TASK-25.3.1.0,TASK-25.4.0.3,,,,Work Complete,,,2025-Mar-17 7:28 AM,,,,KR8296
TM-51440,4902977,Repeating Project Skipping,Bug,TASK-24.10.2.5,,,2025-Feb-19 4:12 PM,SAAS,,,25.3_RRR,CAN_BE_TESTED,IA_Repeating_Project,RCA_Testcase_Missing,Retrospective_Done,SCRUM_VER,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.3.1.6,,,,Legacy,TASK-25.3.1.6,TASK-25.4.0.5,,,,Work Complete,,,2025-Mar-13 8:44 AM,,,,RV1486
TM-51439,4902842,Issue with Data not feeding back to he database,Bug,TASK-24.10.2.5,,,2025-Feb-19 2:47 PM,SAAS,,,CAN_BE_TESTED,RCA_DataIssue,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.5.1.0,,,,Data Issue,TASK-25.5.0.5,,,,,Work Complete,,,2025-Apr-10 7:43 AM,,,,AB4247
TM-51438,4902608,Auto watch Project not working,Bug,TASK-25.1.1.0,,,2025-Feb-19 1:23 PM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.4.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-May-16 7:23 AM,,,,DN2676
TM-51437,4902415,Error guardar palabra con tilde,Bug,TASK-25.2.1.1,,,2025-Feb-19 11:47 AM,SAAS,,,CAN_BE_TESTED,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.5.1.0,,,,Could Not Reproduce,,,,,,No Longer Reproducible,,,2025-May-05 8:26 AM,,,,SA9341
TM-51435,4902110,Z182SP-MWCL15PRKLA01     	System - Performance - Memory Usage    	Critical,Bug,TASK-25.1.1.0,,,2025-Feb-19 9:34 AM,SAAS,,,CAN_BE_TESTED,RCA_Performance_Scalability,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Could Not Reproduce,,,,,,No Longer Reproducible,,,2025-Sep-08 1:40 PM,,,,VP1789
TM-51434,4901759,"RFX - Coppel, S.A. de C.V. - Error con las Traducciones en las Opciones de Pregunta | 21080313",Bug,TASK-25.1.1.0,,,2025-Feb-19 8:28 AM,SAAS,,,ACUTE_CHARACTERS,IA_Walk_Responder,RCA_Execution_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.2.1.7,,,,New Feature Bug,TASK-25.2.1.7,TASK-25.3.1.0,,,,Work Complete,,,2025-Mar-05 8:27 AM,,,,AV6155
TM-51433,4901758,Reference01* Cannot Login as New User,Bug,TASK-25.1.1.0,,,2025-Feb-19 8:28 AM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Mar-10 11:16 PM,,,,
TM-51431,4901883,Enable Walk Notifications,Bug,TASK-24.10.2.3,,,2025-Feb-19 8:07 AM,SAAS,,,CYB_MYWORK_Dev_POD,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Jul-23 9:39 AM,,,,RD7533
TM-51429,4901835,Broadcast Message Formatting,Bug,TASK-25.1.1.1,,,2025-Feb-19 7:57 AM,SAAS,,,CAN_BE_TESTED,CONFIRM,IA_CK_Editor,RCA_Execution_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.5.1.0,,,,Legacy,TASK-25.3.1.3,TASK-25.4.0.4,,,,Work Complete,,,2025-May-05 8:44 PM,,,,SA9341
TM-51400,4899278,"Q-WALK: The walk ""Darba aizsardzības paškontrole veikalam"" permission section's view",Bug,TASK-25.1.1.1,,,2025-Feb-18 2:26 PM,SAAS,,,ACUTE_CHARACTERS,RCA_Execution_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.2.1.7,,,,Internally Reported,TASK-25.2.1.7,TASK-25.3.1.0,,,,Work Complete,,,2025-Feb-25 8:32 AM,,,,NS7781
TM-51399,4899264,"RFX - MAXIMA LATVIJA - Forms draft questionnaire drop down list looks corrupted | 21076705",Bug,TASK-25.1.1.1,,,2025-Feb-18 2:13 PM,SAAS,,,ACUTE_CHARACTERS,RCA_Testcase_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.2.1.7,,,,Duplicate Issue,TASK-25.2.1.7,TASK-25.3.1.0,,,,Work Complete,,,2025-May-02 4:11 PM,,,,MS5895
TM-51396,4898516,21081538: Project errors,Bug,TASK-25.2.1.8,,,2025-Feb-18 7:50 AM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,ETL DATA,,,,,,Script Issue,,,2025-Mar-03 5:11 PM,,,,
TM-51390,4898064,Manual typing in date field doesnt work,Bug,TASK-25.1.1.1,,,2025-Feb-18 5:41 AM,SAAS,,,CAN_BE_TESTED,IA_Project_Creation,RCA_Corner_UI_Issue,Retrospective_Done,SCRUM_VER,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.5.1.0,,,Code Error,Legacy,TASK-25.5.0.6,,,,,Work Complete,,,2025-Apr-14 8:31 AM,,,,FI9357
TM-51386,4898143,Walk Blank,Bug,TASK-25.1.1.1,,,2025-Feb-18 5:25 AM,SAAS,,,RCA_EnvSpecific_Missed,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.2.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Mar-01 9:24 AM,,,,PD4492
TM-51361,4895560,Send Email on new message added,Bug,TASK-24.10.2.2,,,2025-Feb-17 12:41 PM,SAAS,,,CYB_MYWORK_Dev_POD,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Jun-28 5:11 AM,,,,RS7567
TM-51358,4895383,"RFX -  MAXIMA LATVIJA - TM - Forms signature ""name"" field shows corrupted letters while reviewing | 21075557",Bug,TASK-25.1.1.1,,,2025-Feb-17 11:52 AM,SAAS,,,ACUTE_CHARACTERS,RCA_Execution_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.2.1.7,,,,New Feature Bug,TASK-25.2.1.7,TASK-25.3.1.0,,,,Work Complete,,,2025-Feb-25 10:01 AM,,,,MS5895
TM-51327,4870114,GER - TM - Audit -- Status -  Incorrect,Bug,TASK-24.10.2.2,,,2025-Feb-14 2:33 PM,SAAS,,,CAN_BE_TESTED,IA_Walk_Instance,RCA_Corner_Case,RELEASE,RELEASE_NOTES,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.5.1.0,,,,Legacy,TASK-25.5.0.7,,,,,Work Complete,,,2025-Apr-24 10:15 AM,,,,RV1486
TM-51326,4870112,PP_Push notifications are not working on iOS,Bug,TASK-25.1.1.1,,,2025-Feb-14 2:27 PM,SAAS,,,RCA_CONFIG_ISSUE,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,Others,Environment Specific,,,,,,Environmental Issue,,,2025-Mar-08 1:12 PM,,,,AL5699
TM-51323,4869853,Copy Project: Duration and specific date revert back to default,Bug,TASK-25.1.1.1,,,2025-Feb-14 12:28 PM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Feb-17 3:51 PM,,,,PA1587
TM-51318,4869663,"REST API: ""Body buffer overflow"" when downloading some attachments",Bug,TASK-24.10.2.4,,,2025-Feb-14 9:33 AM,SAAS,,,CAN_BE_TESTED,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Training,,,,,,Closed by Salesforce,,,2025-Apr-03 3:17 AM,,,,AL5699
TM-51305,4868637,Z182SP-MWCL08PRKLA02     	System - Performance - Memory Usage    	Critical,Bug,TASK-25.1.1.0,,,2025-Feb-14 2:44 AM,SAAS,,,CAN_BE_TESTED,RCA_Missing,RCA_Performance_Scalability,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Duplicate Issue,,,,,,Duplicate,,,2025-May-27 4:34 PM,,,,VP1789
TM-51303,4868593,Incorrect filtering of favorites,Bug,TASK-24.10.2.4,,,2025-Feb-14 2:20 AM,SAAS,,,CAN_BE_TESTED,IA_Project_Execution,RCA_Corner_Case,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.4.1.0,,,,Security,TASK-25.4.0.2,,,,,Work Complete,,,2025-Feb-19 11:04 AM,,,,MS5895
TM-51298,4868372,REST API responding with 500 Internal Error for tasks query,Bug,TASK-25.1.1.1,,,2025-Feb-14 1:35 AM,SAAS,,,CAN_BE_TESTED,IA_APIGEE,RCA_Automation_Gap,RCA_Testcase_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.1.1.4,TASK-25.2.1.4,,,Regression Need Coverage,TASK-25.1.1.4,TASK-25.2.1.4,TASK-25.3.0.7,,,Work Complete,,,2025-Feb-17 9:54 AM,,,,MS4969
TM-51295,4867503,Pinboard data not matching Reports,Bug,TASK-24.10.2.2,,,2025-Feb-13 5:54 PM,SAAS,,,25.6_RRR,CAN_BE_TESTED,RCA_Missing,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.6.1.0,,,,Legacy,TASK-25.6.0.7,,,,,Explained,,,2025-Jun-20 8:31 AM,,,,MS5895
TM-51294,4867104,Post Action Notification Issue,Bug,TASK-24.10.2.2,,,2025-Feb-13 4:32 PM,SAAS,,,CAN_BE_TESTED,CST_Required,RCA_EnvSpecific_Missed,REOPENED_NOT_A_BUG,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Environment Specific,,,,,,No Longer Reproducible,,,2025-Sep-17 1:30 AM,,,,RJ5203
TM-51292,4866873,"RFX - WALGREEN CO - Error - System loading failure | 21069633",Bug,TASK-25.1.1.0,,,2025-Feb-13 2:50 PM,SAAS,,,CAN_BE_TESTED,CST_Required,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.1.1.5,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Feb-16 10:41 PM,,,,VK3578
TM-51291,4866192,Projects failing to be created following scheduled maintenance,Bug,TASK-25.1.1.0,,,2025-Feb-13 12:25 PM,SAAS,,,CAN_BE_TESTED,CST_Required,Kernel_Scrubbed,RCA_Configuration_Issue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.1.1.3,,,Others,New Feature Bug,TASK-25.1.1.3,TASK-25.2.1.3,TASK-25.3.0.6,,,Closed by Salesforce,,,2025-Mar-16 10:05 AM,,,,NS7781
TM-51288,4865724,CVS Retail - Incoming notification due dates variance Prod vs. Pre-Prod,Bug,TASK-24.10.2.3,,,2025-Feb-13 7:45 AM,SAAS,,,RCA_WFM_IntegrationIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.4.1.0,,,,Configuration,,,,,,Scope Change,,,2025-Jun-24 3:53 AM,,,,SK4873
TM-51287,4865617,Store 1595 is unable to access projects/tasks that are overdue to complete them.,Bug,TASK-24.10.2.2,,,2025-Feb-13 7:36 AM,SAAS,,,CAN_BE_TESTED,IA_Dashboard_Navigations,RCA_Testcase_Missing,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-26.1.1.0,,,Others,Legacy,,,,,,Closed by Salesforce,,,2025-Sep-08 4:18 PM,TM-53578,,,SA1886
TM-51286,4865702,"[Major incident] RFX - CO-OPERATIVE GROUP LTD - Task missing from Mywork (store, delivery, bakery, temperature checks) | 21064040",Bug,TASK-25.1.1.0,,,2025-Feb-13 7:20 AM,SAAS,,,CAN_BE_TESTED,CST_Required,MIM,RCA_Duplicate,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.1.1.5,,,,Duplicate Issue,TASK-25.1.1.5,TASK-25.2.1.5,TASK-25.3.0.6,TASK-25.4.0.1,,Duplicate,,,2025-Feb-16 10:40 PM,,,,VK3578
TM-51260,4863087,CL85-HNM CHINA-PP: Switch to option is getting Error.,Bug,TASK-25.1.1.0,,,2025-Feb-12 3:46 PM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Mar-02 12:46 PM,,,,PA1587
TM-51257,4862194,PP_Walks appear in Units that should not,Bug,TASK-25.1.1.1,,,2025-Feb-12 8:10 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Mar-02 11:19 AM,,,,SP2471
TM-51216,4859361,MYWORK 25.1 [UK/ROI] - Data is not present for this unit (Split by Row) error,Bug,TASK-25.1.1.0,,,2025-Feb-11 11:21 AM,SAAS,,,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Feb-11 12:27 PM,,,,
TM-51184,4857934,Cannot Reset User Passwords via User Screen,Bug,TASK-25.1.1.0,,,2025-Feb-11 2:39 AM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Feb-12 3:27 PM,,,,
TM-51171,4856501,Images in notes once the task is PDF'd are truncated,Bug,TASK-24.10.2.5,,,2025-Feb-10 2:31 PM,SAAS,,,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-25.2.1.0,,,,Duplicate Issue,TASK-25.2.0.4,,,,,Duplicate,,,2025-Feb-11 9:20 AM,,,,
TM-51170,4856075,Two projects were launched without admin's approval,Bug,TASK-24.10.2.5,,,2025-Feb-10 12:36 PM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Feb-24 3:51 AM,,,,PA1587
TM-51158,4855160,Walk not scoring properly,Bug,TASK-24.10.2.2,,,2025-Feb-10 6:19 AM,SAAS,,,CODE_MERGE_VERSION_NA,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Feb-12 8:19 AM,,,,KA6692
TM-51150,4854193,"[MAJOR INCIDENT] RFX - WALGREEN CO - TM - CRITICAL - Projects stuck ""Launch In Progress"" | 21081538",Bug,TASK-25.1.1.0,,,2025-Feb-10 2:13 AM,SAAS,,,CAN_BE_TESTED,CST_Required,IA_Kernel_Performance,MIM,PROJECT_LAUNCH,RCA_Performance_Scalability,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.1.1.5,,,,New Feature Bug,TASK-25.1.1.5,TASK-25.2.1.5,TASK-25.3.0.6,TASK-25.3.0.7,TASK-25.4.0.1,Work Complete,,,2025-Feb-16 10:39 PM,,,,VK3578
TM-51138,4851655,Inhouse URL's are opening in external browser(Chrome/Explorer) from MGP mobile app,Bug,TASK-25.1.1.1,,,2025-Feb-07 4:54 PM,SAAS,,,CAN_BE_TESTED,MOVE_25.6,RCA_Missing,Retrospective_Done,TCM_updated,TestCoverage_Done,UPDATE_WORKFLOW,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,Code Error,New Feature Bug,TASK-25.9.0.8,,,,,Work Complete,,,2025-Aug-18 9:01 AM,,,,MS4969
