Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-58822,5595808,v45HNMROW: H&M Prod - CH Prod- Translation is not correct in French-Switzerland and Deutsch Switzerland,Bug,TASK-25.8.1.6,,,2025-Sep-30 9:02 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Oct-07 6:45 PM,,,,
TM-58810,5594614,Wrong colour of favorite icon on mobile/android,Bug,TASK-25.8.1.7,,,2025-Sep-30 3:14 AM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Verify,TASK-26.1.1.0,,,,Legacy,TASK-26.1.0.3,,,,,Work Complete,,,2025-Oct-16 9:30 AM,,,,MS5895
TM-58796,5592761,Edición de proyecto,Bug,TASK-25.8.1.6,,,2025-Sep-29 11:24 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Others,Third Party,,,,,,Closed by Salesforce,,,2025-Oct-17 11:29 AM,,,,PA1587
TM-58788,5592239,MYWORK 25.9 [UK/ROI] - Split by row file not opening 'Home Automated Clear as You Go - Week 31',Bug,TASK-25.8.1.6,,,2025-Sep-29 7:36 AM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.9.1.2,,,,Regression Missed Execution,TASK-25.9.1.1,,,,,Work Complete,,,2025-Sep-30 5:28 AM,,,,SD7273
TM-58760,5587836,"[Major Incident} RFX - Ahold Delhaize USA Services, LLC - SFTP Server reading in empty files but the files we are delivering have data | 23703651",Bug,TASK-25.8.1.6,,,2025-Sep-26 4:36 PM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.8.1.8,,,,Regression,TASK-25.8,TASK-25.9.1.2,,,,Work Complete,,,2025-Sep-30 5:32 AM,,,,MS5895
TM-58759,5587494,"RFX - Burlington Coat Factory Warehouse Corporation - Unable to view responses within walk projects | 23700342",Bug,,,,2025-Sep-26 3:28 PM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-25.9.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-29 3:53 PM,,,,RV1486
TM-58755,5586682,Project failed to launch,Bug,TASK-25.8.1.6,,,2025-Sep-26 7:33 AM,SAAS,,,PROJECT_LAUNCH,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-26.1.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-30 11:45 AM,,,,AV6155
TM-58702,5580307,Unable to view responses and images from Field View task,Bug,,,,2025-Sep-24 1:59 PM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.0,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-29 3:49 PM,,,,SD7273
TM-58695,5579028,Z182SP-CVSDCRWSPRWAS01                System - Disk Usage - /mount               critical,Bug,TASK-25.8.1.0,,,2025-Sep-24 7:25 AM,SAAS,,,NOC_ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Oct-10 5:05 AM,,,,SS8013
TM-58666,5576165,GY: Task Manager / User cannot see audit in reports,Bug,TASK-25.8.1.6,,,2025-Sep-23 12:40 PM,SAAS,,,RAR_ETL_DATA_ISSUE,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-26.1.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Oct-05 10:34 AM,,,,PA1587
